Interest Rates of Banks and Finance Companies
PER CENT PER ANNUM


End of Period,,Banks Savings Deposits
2007,Jan,0.25
,Feb,0.25
,Mar,0.25
,Apr,0.25
,May,0.25
,Jun,0.25
,Jul,0.25
,Aug,0.25
,Sep,0.25
,Oct,0.25
,Nov,0.25
,Dec,0.25
2008,Jan,0.25
,Feb,0.24
,Mar,0.24
,Apr,0.24
,May,0.24
,Jun,0.23
,Jul,0.23
,Aug,0.23
,Sep,0.23
,Oct,0.23
,Nov,0.23
,Dec,0.22
2009,Jan,0.22
,Feb,0.21
,Mar,0.20
,Apr,0.18
,May,0.17
,Jun,0.17
,Jul,0.16
,Aug,0.16
,Sep,0.16
,Oct,0.16
,Nov,0.16
,Dec,0.15
2010,Jan,0.16
,Feb,0.14
,Mar,0.14
,Apr,0.14
,May,0.14
,Jun,0.14
,Jul,0.14
,Aug,0.14
,Sep,0.14
,Oct,0.13
,Nov,0.13
,Dec,0.13
2011,Jan,0.12
,Feb,0.12
,Mar,0.12
,Apr,0.12
,May,0.12
,Jun,0.12
,Jul,0.12
,Aug,0.12
,Sep,0.12
,Oct,0.11
,Nov,0.11
,Dec,0.11
2012,Jan,0.11
,Feb,0.11
,Mar,0.11
,Apr,0.11
,May,0.11
,Jun,0.11
,Jul,0.11
,Aug,0.11
,Sep,0.11
,Oct,0.11
,Nov,0.11
,Dec,0.11
2013,Jan,0.11
,Feb,0.11
,Mar,0.11
,Apr,0.10
,May,0.10
,Jun,0.10
,Jul,0.10
,Aug,0.10
,Sep,0.10
,Oct,0.10
,Nov,0.10
,Dec,0.10
2014,Jan,0.12
,Feb,0.12
,Mar,0.12
,Apr,0.12
,May,0.12
,Jun,0.11
,Jul,0.11
,Aug,0.11
,Sep,0.11
,Oct,0.11
,Nov,0.11
,Dec,0.11
2015,Jan,0.11
,Feb,0.11
,Mar,0.11
,Apr,0.11
,May,0.11
,Jun,0.11
,Jul,0.11
,Aug,0.14
,Sep,0.14
,Oct,0.14
,Nov,0.14
,Dec,0.14
2016,Jan,0.14
,Feb,0.14
,Mar,0.14
,Apr,0.14
,May,0.14
,Jun,0.14
,Jul,0.14
,Aug,0.14
,Sep,0.14
,Oct,0.14
,Nov,0.14
,Dec,0.14
2017,Jan,0.18
,Feb,0.18
,Mar,0.16
,Apr,0.16
,May,0.16
,Jun,0.16
,Jul,0.16
,Aug,0.16
,Sep,0.16
,Oct,0.16
,Nov,0.16
,Dec,0.16

"Note: Figures refer to average rates compiled from that quoted by 10 leading banks and finance companies."
